filename,width,height,class,xmin,ymin,xmax,ymax
mechanical_1_noDogs_2018-12-09--09-49-37.JPG,4000,3000,person,1,1559,420,3000
motorized_1_dogs1_2018-12-10--10-40-23.JPG,4000,3000,person,194,1398,884,2521
motorized_1_dogs1_2018-12-10--10-40-23.JPG,4000,3000,dog,1307,1675,1442,1970
motorized_1_dogs1_2018-12-20--09-28-55.JPG,4000,3000,dog,410,1406,484,1531
motorized_1_dogs1_2018-12-20--09-28-55.JPG,4000,3000,person,1,1457,139,1701
motorized_1_dogs1_2018-12-21--08-09-08.JPG,4000,3000,dog,267,1476,355,1588
motorized_1_dogs1_2018-12-21--08-09-08.JPG,4000,3000,person,1,1392,148,1749
motorized_1_dogs1_2018-12-30--12-05-47.JPG,4000,3000,person,11,1201,869,2489
motorized_1_dogs1_2018-12-30--12-05-47.JPG,4000,3000,dog,1291,1589,1418,1759
motorized_1_noDogs_2018-12-05--07-36-40.JPG,4000,3000,person,1236,1400,1385,1591
motorized_1_noDogs_2018-12-05--08-13-10.JPG,4000,3000,person,563,1372,1045,2024
motorized_1_noDogs_2018-12-05--09-20-14.JPG,4000,3000,groomer,1,1192,1004,2101
motorized_1_noDogs_2018-12-05--09-24-20.JPG,4000,3000,groomer,1,654,1684,2915
motorized_1_noDogs_2018-12-05--10-24-37.JPG,4000,3000,person,407,1367,916,2131
motorized_1_noDogs_2018-12-05--12-09-10.JPG,4000,3000,person,549,1498,1128,2301
motorized_1_noDogs_2018-12-05--13-28-37.JPG,4000,3000,groomer,4,1031,1016,2094
motorized_1_noDogs_2018-12-05--16-20-02.JPG,4000,3000,person,425,1337,952,2139
motorized_1_noDogs_2018-12-06--07-38-33.JPG,4000,3000,person,813,1322,1079,1798
motorized_1_noDogs_2018-12-06--08-42-13.JPG,4000,3000,person,684,1475,1152,1987
motorized_1_noDogs_2018-12-06--08-43-33.JPG,4000,3000,person,757,1398,1087,1872
motorized_1_noDogs_2018-12-06--08-56-12.JPG,4000,3000,person,446,1427,864,2028
motorized_1_noDogs_2018-12-06--11-19-51.JPG,4000,3000,person,669,1464,1028,1913
motorized_1_noDogs_2018-12-06--12-33-26.JPG,4000,3000,groomer,1,743,1412,2846
motorized_1_noDogs_2018-12-06--12-33-31.JPG,4000,3000,groomer,1,1172,1800,2143
motorized_1_noDogs_2018-12-06--13-41-57.JPG,4000,3000,person,115,1500,1039,2548
motorized_1_noDogs_2018-12-06--16-51-10.JPG,4000,3000,groomer,1,1060,1051,2301
motorized_1_noDogs_2018-12-07--03-22-29.JPG,4000,3000,person,743,1440,1191,1857
motorized_1_noDogs_2018-12-07--04-02-39.JPG,4000,3000,person,534,1515,1188,2239
motorized_1_noDogs_2018-12-07--04-05-04.JPG,4000,3000,groomer,1,267,822,2778
motorized_1_noDogs_2018-12-07--04-05-09.JPG,4000,3000,groomer,751,1067,1439,1839
motorized_1_noDogs_2018-12-07--04-49-56.JPG,4000,3000,person,643,1455,1127,1991
motorized_1_noDogs_2018-12-07--04-54-43.JPG,4000,3000,person,240,1536,704,2036
motorized_1_noDogs_2018-12-07--05-29-37.JPG,4000,3000,person,457,1490,897,1894
motorized_1_noDogs_2018-12-07--05-31-58.JPG,4000,3000,person,787,1479,1194,1978
motorized_1_noDogs_2018-12-07--05-32-04.JPG,4000,3000,person,701,1494,1021,1897
motorized_1_noDogs_2018-12-07--06-15-19.JPG,4000,3000,person,513,1412,981,1985
motorized_1_noDogs_2018-12-07--06-18-00.JPG,4000,3000,person,791,1439,1128,1882
motorized_1_noDogs_2018-12-07--08-46-16.JPG,4000,3000,person,678,1282,1222,2136
motorized_1_noDogs_2018-12-07--08-47-01.JPG,4000,3000,person,875,1401,1125,1748
motorized_1_noDogs_2018-12-07--08-55-51.JPG,4000,3000,person,624,1478,1161,2192
motorized_1_noDogs_2018-12-07--08-58-08.JPG,4000,3000,person,1025,1369,1306,1833
motorized_1_noDogs_2018-12-07--09-19-15.JPG,4000,3000,person,837,1388,1163,1925
motorized_1_noDogs_2018-12-07--09-29-43.JPG,4000,3000,person,593,1355,1164,2118
motorized_1_noDogs_2018-12-07--09-40-39.JPG,4000,3000,person,201,1491,1019,2509
motorized_1_noDogs_2018-12-07--09-44-47.JPG,4000,3000,person,934,1207,1533,2149
motorized_1_noDogs_2018-12-07--09-47-29.JPG,4000,3000,groomer,1,433,2398,2864
motorized_1_noDogs_2018-12-07--09-47-37.JPG,4000,3000,groomer,955,913,3151,2315
motorized_1_noDogs_2018-12-07--09-48-23.JPG,4000,3000,person,1237,1266,1710,1937
motorized_1_noDogs_2018-12-07--09-48-23.JPG,4000,3000,person,876,1434,1009,1724
motorized_1_noDogs_2018-12-07--09-48-23.JPG,4000,3000,person,639,1455,778,1722
motorized_1_noDogs_2018-12-07--09-48-23.JPG,4000,3000,groomer,1,1695,696,2497
motorized_1_noDogs_2018-12-07--09-50-00.JPG,4000,3000,person,601,1437,1058,2015
motorized_1_noDogs_2018-12-07--09-50-25.JPG,4000,3000,groomer,18,887,3227,2678
motorized_1_noDogs_2018-12-07--09-50-31.JPG,4000,3000,groomer,2997,845,4000,1849
motorized_1_noDogs_2018-12-07--09-50-37.JPG,4000,3000,groomer,1085,1069,2773,1782
motorized_1_noDogs_2018-12-07--09-50-45.JPG,4000,3000,groomer,1,1416,1140,2476
motorized_1_noDogs_2018-12-07--09-53-50.JPG,4000,3000,groomer,1167,837,4000,2063
motorized_1_noDogs_2018-12-07--09-53-56.JPG,4000,3000,groomer,1107,1046,3266,1833
motorized_1_noDogs_2018-12-07--09-54-03.JPG,4000,3000,groomer,1,1100,1551,2064
motorized_1_noDogs_2018-12-07--09-54-43.JPG,4000,3000,groomer,1,712,2158,2851
