filename,width,height,class,xmin,ymin,xmax,ymax
SY_00006.JPG,4000,3000,motorized,635,1492,806,1804
SY_00006.JPG,4000,3000,motorized,288,1481,584,1849
SY_00007.JPG,4000,3000,motorized,560,1536,954,1816
SY_00007.JPG,4000,3000,motorized,1123,1513,1518,1830
SY_00008.JPG,4000,3000,motorized,235,1563,593,1816
SY_00008.JPG,4000,3000,nonMotorized,591,1482,748,1772
SY_00009.JPG,4000,3000,motorized,1485,1487,1815,1692
SY_00009.JPG,4000,3000,nonMotorized,1872,1406,1948,1624
SY_00009.JPG,4000,3000,motorized,2091,1457,2375,1752
SY_00013.JPG,4000,3000,motorized,3206,1500,3608,1813
SY_00013.JPG,4000,3000,motorized,2653,1555,3017,1769
SY_00013.JPG,4000,3000,nonMotorized,3018,1472,3108,1695
SY_00015.JPG,4000,3000,motorized,1688,1558,2063,1772
SY_00015.JPG,4000,3000,motorized,2276,1439,2633,1807
SY_00018.JPG,4000,3000,motorized,1093,1613,1442,1794
SY_00018.JPG,4000,3000,nonMotorized,1406,1466,1500,1687
SY_00019.JPG,4000,3000,motorized,1645,1464,2090,1787
SY_00019.JPG,4000,3000,motorized,1068,1563,1453,1787
SY_00019.JPG,4000,3000,nonMotorized,1472,1521,1597,1695
SY_00020.JPG,4000,3000,nonMotorized,3251,1607,3541,2373
SY_00020.JPG,4000,3000,motorized,1669,1428,2053,1764
SY_00021.JPG,4000,3000,motorized,1662,1409,2054,1775
SY_00022.JPG,4000,3000,motorized,3199,1446,3791,2248
SY_00022.JPG,4000,3000,motorized,1669,1442,2041,1760
SY_00023.JPG,4000,3000,motorized,1630,1410,2050,1749
SY_00023.JPG,4000,3000,motorized,2353,1637,2723,1949
SY_00023.JPG,4000,3000,vechicle,2705,1484,4000,2252
SY_00024.JPG,4000,3000,motorized,1645,1428,2054,1778
SY_00024.JPG,4000,3000,motorized,2363,1615,2741,1939
SY_00024.JPG,4000,3000,nonMotorized,3096,1570,3505,2552
SY_00025.JPG,4000,3000,motorized,1653,1400,2008,1773
SY_00025.JPG,4000,3000,motorized,2356,1624,2742,1927
SY_00026.JPG,4000,3000,nonMotorized,3471,1582,3903,2725
SY_00026.JPG,4000,3000,motorized,2359,1636,2745,1946
SY_00026.JPG,4000,3000,motorized,1633,1433,2038,1766
SY_00028.JPG,4000,3000,dog,3029,2395,3394,2815
SY_00028.JPG,4000,3000,nonMotorized,3547,1573,3923,2698
SY_00028.JPG,4000,3000,motorized,2382,1618,2730,1960
SY_00028.JPG,4000,3000,motorized,1651,1431,2029,1761
SY_00029.JPG,4000,3000,dog,3059,2101,3421,2676
SY_00030.JPG,4000,3000,dog,2069,2024,2209,2240
SY_00030.JPG,4000,3000,dog,1617,1722,1769,1937
SY_00030.JPG,4000,3000,dog,2435,1994,2644,2275
SY_00030.JPG,4000,3000,nonMotorized,2733,1563,2941,2318
SY_00030.JPG,4000,3000,nonMotorized,3320,1533,3624,2301
SY_00030.JPG,4000,3000,dog,2894,1998,3045,2219
SY_00032.JPG,4000,3000,vechicle,2275,1454,3405,2355
SY_00034.JPG,4000,3000,nonMotorized,2472,1519,2639,1943
SY_00035.JPG,4000,3000,nonMotorized,2565,1512,2706,1997
SY_00035.JPG,4000,3000,nonMotorized,3538,1539,3817,2291
SY_00036.JPG,4000,3000,nonMotorized,2784,1524,3018,2127
SY_00037.JPG,4000,3000,nonMotorized,2988,1540,3172,2115
SY_00037.JPG,4000,3000,nonMotorized,2884,1516,3035,2076
SY_00038.JPG,4000,3000,dog,2765,1940,2991,2139
SY_00038.JPG,4000,3000,nonMotorized,2905,1670,3103,2109
SY_00038.JPG,4000,3000,nonMotorized,2969,1515,3144,1760
SY_00039.JPG,4000,3000,nonMotorized,3227,1572,3481,2237
SY_00039.JPG,4000,3000,nonMotorized,2579,1521,2733,1776
SY_00039.JPG,4000,3000,nonMotorized,494,1558,647,1870
SY_00039.JPG,4000,3000,dog,1135,1695,1288,1813
SY_00039.JPG,4000,3000,dog,1326,1710,1415,1815
SY_00040.JPG,4000,3000,motorized,2465,1521,2757,1924
SY_00040.JPG,4000,3000,nonMotorized,508,1528,647,1812
SY_00040.JPG,4000,3000,dog,1353,1618,1459,1728
SY_00040.JPG,4000,3000,dog,1279,1616,1375,1731
SY_00041.JPG,4000,3000,nonMotorized,3894,1697,4000,2445
SY_00043.JPG,4000,3000,nonMotorized,2738,1607,2868,2019
SY_00043.JPG,4000,3000,nonMotorized,1369,1485,1442,1721
SY_00043.JPG,4000,3000,nonMotorized,1463,1488,1541,1709
SY_00044.JPG,4000,3000,nonMotorized,1693,1537,1768,1848
SY_00044.JPG,4000,3000,nonMotorized,1797,1507,1881,1831
SY_00045.JPG,4000,3000,nonMotorized,1881,1522,2017,1916
SY_00046.JPG,4000,3000,nonMotorized,3306,1552,3485,2391
SY_00046.JPG,4000,3000,nonMotorized,3178,1539,3341,2303
SY_00048.JPG,4000,3000,dog,1797,1878,1927,2018
SY_00049.JPG,4000,3000,nonMotorized,3426,1530,3682,2273
SY_00051.JPG,4000,3000,nonMotorized,3039,1610,3245,2434
SY_00052.JPG,4000,3000,nonMotorized,3220,1513,3451,2498
SY_00053.JPG,4000,3000,dog,3626,2107,4000,2375
SY_00053.JPG,4000,3000,dog,2060,1892,2171,2019
SY_00053.JPG,4000,3000,nonMotorized,3200,1621,3351,2221
SY_00053.JPG,4000,3000,nonMotorized,3091,1560,3239,2161
SY_00053.JPG,4000,3000,nonMotorized,2550,1603,2691,2079
SY_00053.JPG,4000,3000,nonMotorized,2336,1549,2487,2231
SY_00053.JPG,4000,3000,nonMotorized,2175,1640,2323,1982
SY_00053.JPG,4000,3000,nonMotorized,2106,1554,2272,1766
SY_00054.JPG,4000,3000,nonMotorized,2691,1570,2823,2161
SY_00054.JPG,4000,3000,nonMotorized,3047,1567,3188,2173
SY_00054.JPG,4000,3000,nonMotorized,3320,1521,3662,2681
SY_00054.JPG,4000,3000,dog,2875,2051,3051,2194
SY_00055.JPG,4000,3000,nonMotorized,3542,1582,3829,2497
SY_00055.JPG,4000,3000,dog,3924,2257,4000,2482
SY_00058.JPG,4000,3000,nonMotorized,2442,1552,2621,2242
SY_00058.JPG,4000,3000,nonMotorized,3262,1554,3421,2212
SY_00059.JPG,4000,3000,nonMotorized,2521,1654,2674,2304
SY_00059.JPG,4000,3000,nonMotorized,2820,1569,3053,2288
SY_00062.JPG,4000,3000,vechicle,2221,1484,3326,2418
SY_00064.JPG,4000,3000,nonMotorized,1781,1560,1874,1819
SY_00064.JPG,4000,3000,nonMotorized,1911,1516,2026,1858
SY_00064.JPG,4000,3000,dog,2857,1776,3168,1969
SY_00065.JPG,4000,3000,nonMotorized,2938,1603,3066,2133
SY_00065.JPG,4000,3000,nonMotorized,3257,1534,3485,2242
SY_00066.JPG,4000,3000,nonMotorized,3668,1597,3941,2358
SY_00068.JPG,4000,3000,nonMotorized,2827,1439,3006,2488
SY_00069.JPG,4000,3000,nonMotorized,3312,1640,3632,2755
SY_00071.JPG,4000,3000,nonMotorized,2475,1606,2627,2182
SY_00071.JPG,4000,3000,dog,2056,1922,2265,2230
SY_00072.JPG,4000,3000,dog,1562,1718,1727,1916
SY_00072.JPG,4000,3000,nonMotorized,1936,1552,2087,1967
SY_00073.JPG,4000,3000,nonMotorized,2653,1513,2878,2164
SY_00073.JPG,4000,3000,nonMotorized,1550,1524,1630,1800
SY_00075.JPG,4000,3000,dog,2938,1892,3063,2103
SY_00076.JPG,4000,3000,dog,1788,1854,1974,2039
